1,Abbeydale,Alberta,57:06.8,57:06.8
2,Abbottsfield,Alberta,57:06.8,57:06.8
3,Abee,Alberta,57:06.8,57:06.8
4,Abilene,Alberta,57:06.8,57:06.8
5,Academy,Alberta,57:06.8,57:06.8
6,Acadia,Alberta,57:06.8,57:06.8
7,Acadia,Alberta,57:06.8,57:06.8
8,Acadia Valley,Alberta,57:06.8,57:06.8
9,Acheson,Alberta,57:06.8,57:06.8
10,Acme,Alberta,57:06.8,57:06.8
11,Adams Landing,Alberta,57:06.8,57:06.8
12,Aden,Alberta,57:06.8,57:06.8
13,Aerial,Alberta,57:06.8,57:06.8
14,Aetna,Alberta,57:06.8,57:06.8
15,Agatha,Alberta,57:06.8,57:06.8
16,Aggie,Alberta,57:06.8,57:06.8
17,Airdrie,Alberta,57:06.8,57:06.8
18,Akenside,Alberta,57:06.8,57:06.8
19,Akinsdale,Alberta,57:06.8,57:06.8
20,Alberta Avenue,Alberta,57:06.8,57:06.8
21,Alberta Beach,Alberta,57:06.8,57:06.8
22,Albert Park,Alberta,57:06.8,57:06.8
23,Albright,Alberta,57:06.8,57:06.8
24,Alcomdale,Alberta,57:06.8,57:06.8
25,Alcurve,Alberta,57:06.8,57:06.8
26,Alder Flats,Alberta,57:06.8,57:06.8
27,Aldergrove,Alberta,57:06.8,57:06.8
28,Alderson,Alberta,57:06.8,57:06.8
29,Aldersyde,Alberta,57:06.8,57:06.8
30,Alexander,Alberta,57:06.8,57:06.8
31,Alexis,Alberta,57:06.8,57:06.8
32,Alexo,Alberta,57:06.8,57:06.8
33,Alhambra,Alberta,57:06.8,57:06.8
34,Alix,Alberta,57:06.8,57:06.8
35,Alix South Junction,Alberta,57:06.8,57:06.8
36,Allendale,Alberta,57:06.8,57:06.8
37,Alliance,Alberta,57:06.8,57:06.8
38,Allingham,Alberta,57:06.8,57:06.8
39,Alness,Alberta,57:06.8,57:06.8
40,Alpen,Alberta,57:06.8,57:06.8
41,Alpen Siding,Alberta,57:06.8,57:06.8
42,Alsike,Alberta,57:06.8,57:06.8
43,Altadore,Alberta,57:06.8,57:06.8
44,Altario,Alberta,57:06.8,57:06.8
45,Amber Valley,Alberta,57:06.8,57:06.8
46,Amelia,Alberta,57:06.8,57:06.8
47,Amesbury,Alberta,57:06.8,57:06.8
48,Amisk,Alberta,57:06.8,57:06.8
49,Amundson,Alberta,57:06.8,57:06.8
50,Analta,Alberta,57:06.8,57:06.8
51,Anastasia,Alberta,57:06.8,57:06.8
52,Ancona,Alberta,57:06.8,57:06.8
53,Andrew,Alberta,57:06.8,57:06.8
54,Ankerton,Alberta,57:06.8,57:06.8
55,Ansell,Alberta,57:06.8,57:06.8
56,Anselmo,Alberta,57:06.8,57:06.8
57,Anthracite,Alberta,57:06.8,57:06.8
58,Antonio,Alberta,57:06.8,57:06.8
59,Anton Lake,Alberta,57:06.8,57:06.8
60,Antross,Alberta,57:06.8,57:06.8
61,Anzac,Alberta,57:06.8,57:06.8
62,Applewood Park,Alberta,57:06.8,57:06.8
63,Arbour Lake,Alberta,57:06.8,57:06.8
64,Arcadia,Alberta,57:06.8,57:06.8
65,Ardenode,Alberta,57:06.8,57:06.8
66,Ardenville,Alberta,57:06.8,57:06.8
67,Ardley,Alberta,57:06.8,57:06.8
68,Ardmore,Alberta,57:06.8,57:06.8
69,Ardrossan,Alberta,57:06.8,57:06.8
70,Argentia Beach,Alberta,57:06.8,57:06.8
71,Argyll,Alberta,57:06.8,57:06.8
72,Armada,Alberta,57:06.8,57:06.8
73,Armena,Alberta,57:06.8,57:06.8
74,Arneson,Alberta,57:06.8,57:06.8
75,Arrowwood,Alberta,57:06.8,57:06.8
76,Arvilla,Alberta,57:06.8,57:06.8
77,Ashmont,Alberta,57:06.8,57:06.8
78,Aspen Beach,Alberta,57:06.8,57:06.8
79,Aspen Gardens,Alberta,57:06.8,57:06.8
80,Assineau,Alberta,57:06.8,57:06.8
81,Assumption,Alberta,57:06.8,57:06.8
82,Athabasca,Alberta,57:06.8,57:06.8
83,Athlone,Alberta,57:06.8,57:06.8
84,Atikameg,Alberta,57:06.8,57:06.8
85,Atlee,Alberta,57:06.8,57:06.8
86,Atmore,Alberta,57:06.8,57:06.8
87,Auburndale,Alberta,57:06.8,57:06.8
88,Avenir,Alberta,57:06.8,57:06.8
89,Avonmore,Alberta,57:06.8,57:06.8
90,Azure,Alberta,57:06.8,57:06.8
91,Bad Heart,Alberta,57:06.8,57:06.8
92,Bain,Alberta,57:06.8,57:06.8
93,Baintree,Alberta,57:06.8,57:06.8
94,Ballantine,Alberta,57:06.8,57:06.8
95,Ballater,Alberta,57:06.8,57:06.8
96,Balm,Alberta,57:06.8,57:06.8
97,Balwin,Alberta,57:06.8,57:06.8
98,Balzac,Alberta,57:06.8,57:06.8
99,Banff,Alberta,57:06.8,57:06.8
100,Banff Trail,Alberta,57:06.8,57:06.8
101,Bank Bay,Alberta,57:06.8,57:06.8
102,Bankhead,Alberta,57:06.8,57:06.8
103,Banko Junction,Alberta,57:06.8,57:06.8
104,Bankview,Alberta,57:06.8,57:06.8
105,Bannerman,Alberta,57:06.8,57:06.8
106,Bantry,Alberta,57:06.8,57:06.8
107,Baptiste Lake,Alberta,57:06.8,57:06.8
108,Baptiste River,Alberta,57:06.8,57:06.8
109,Baranow,Alberta,57:06.8,57:06.8
110,Bardo,Alberta,57:06.8,57:06.8
111,Bargrave,Alberta,57:06.8,57:06.8
112,Barich,Alberta,57:06.8,57:06.8
113,Barlee Junction,Alberta,57:06.8,57:06.8
114,Barlow,Alberta,57:06.8,57:06.8
115,Barnegat,Alberta,57:06.8,57:06.8
116,Barnwell,Alberta,57:06.8,57:06.8
117,Barons,Alberta,57:06.8,57:06.8
118,Barrhead,Alberta,57:06.8,57:06.8
119,Bartstow,Alberta,57:06.8,57:06.8
120,Bashaw,Alberta,57:06.8,57:06.8
121,Bassano,Alberta,57:06.8,57:06.8
122,Batter Junction,Alberta,57:06.8,57:06.8
123,Battle Bend,Alberta,57:06.8,57:06.8
124,Battle Lake,Alberta,57:06.8,57:06.8
125,Battle River,Alberta,57:06.8,57:06.8
126,Baturyn,Alberta,57:06.8,57:06.8
127,Bawlf,Alberta,57:06.8,57:06.8
128,Bay Tree,Alberta,57:06.8,57:06.8
129,Bayview,Alberta,57:06.8,57:06.8
130,Beach Corner,Alberta,57:06.8,57:06.8
131,Beacon Corner,Alberta,57:06.8,57:06.8
132,Beacon Heights,Alberta,57:06.8,57:06.8
133,Bearberry,Alberta,57:06.8,57:06.8
134,Bear Canyon,Alberta,57:06.8,57:06.8
135,Bear Lake,Alberta,57:06.8,57:06.8
136,Bearspaw,Alberta,57:06.8,57:06.8
137,Bearspaw,Alberta,57:06.8,57:06.8
138,Beaumaris,Alberta,57:06.8,57:06.8
139,Beaumont,Alberta,57:06.8,57:06.8
140,Beauvallon,Alberta,57:06.8,57:06.8
141,Beaver Crossing,Alberta,57:06.8,57:06.8
142,Beaverdam,Alberta,57:06.8,57:06.8
143,Beaverhill,Alberta,57:06.8,57:06.8
144,Beaver Lake,Alberta,57:06.8,57:06.8
145,Beaverlodge,Alberta,57:06.8,57:06.8
146,Beaver Mines,Alberta,57:06.8,57:06.8
147,Beaver River,Alberta,57:06.8,57:06.8
148,Beazer,Alberta,57:06.8,57:06.8
149,Beddington,Alberta,57:06.8,57:06.8
150,Beddington Heights,Alberta,57:06.8,57:06.8
151,Behan,Alberta,57:06.8,57:06.8
152,Beiseker,Alberta,57:06.8,57:06.8
153,Bel-Aire,Alberta,57:06.8,57:06.8
154,Belgravia,Alberta,57:06.8,57:06.8
155,Bellevue,Alberta,57:06.8,57:06.8
156,Bellevue,Alberta,57:06.8,57:06.8
157,Bellis,Alberta,57:06.8,57:06.8
158,Belloy,Alberta,57:06.8,57:06.8
159,Bellshill,Alberta,57:06.8,57:06.8
160,Belmont,Alberta,57:06.8,57:06.8
161,Belvedere,Alberta,57:06.8,57:06.8
162,Belvedere,Alberta,57:06.8,57:06.8
163,Benalto,Alberta,57:06.8,57:06.8
164,Benbow,Alberta,57:06.8,57:06.8
165,Benchlands,Alberta,57:06.8,57:06.8
166,Bennett,Alberta,57:06.8,57:06.8
167,Bentley,Alberta,57:06.8,57:06.8
168,Benton Station,Alberta,57:06.8,57:06.8
169,Berdinskies,Alberta,57:06.8,57:06.8
170,Bergen,Alberta,57:06.8,57:06.8
171,Bergman,Alberta,57:06.8,57:06.8
172,Berkinshaw,Alberta,57:06.8,57:06.8
173,Berry Creek,Alberta,57:06.8,57:06.8
174,Berrymoor,Alberta,57:06.8,57:06.8
175,Berwyn,Alberta,57:06.8,57:06.8
176,Betula Beach,Alberta,57:06.8,57:06.8
177,Beverly Heights,Alberta,57:06.8,57:06.8
178,Beynon,Alberta,57:06.8,57:06.8
179,Bezanson,Alberta,57:06.8,57:06.8
180,Bickerdike,Alberta,57:06.8,57:06.8
181,Big Coulee,Alberta,57:06.8,57:06.8
182,Big Meadow,Alberta,57:06.8,57:06.8
183,Big Slough,Alberta,57:06.8,57:06.8
184,Big Stone,Alberta,57:06.8,57:06.8
185,Big Valley,Alberta,57:06.8,57:06.8
186,Bilby,Alberta,57:06.8,57:06.8
187,Bindloss,Alberta,57:06.8,57:06.8
188,Bingley,Alberta,57:06.8,57:06.8
189,Bircham,Alberta,57:06.8,57:06.8
190,Birchcliff,Alberta,57:06.8,57:06.8
191,Birch Cove,Alberta,57:06.8,57:06.8
192,Bison Lake,Alberta,57:06.8,57:06.8
193,Bisset,Alberta,57:06.8,57:06.8
194,Bittern Lake,Alberta,57:06.8,57:06.8
195,Bitumount,Alberta,57:06.8,57:06.8
196,Black Diamond,Alberta,57:06.8,57:06.8
197,Blackfalds,Alberta,57:06.8,57:06.8
198,Blackfoot,Alberta,57:06.8,57:06.8
199,Blackie,Alberta,57:06.8,57:06.8
200,Blairmore,Alberta,57:06.8,57:06.8
201,Bloomsbury,Alberta,57:06.8,57:06.8
202,Blueberry Mountain,Alberta,57:06.8,57:06.8
203,Blue Quill,Alberta,57:06.8,57:06.8
204,Blue Quill Estates,Alberta,57:06.8,57:06.8
205,Blue Ridge,Alberta,57:06.8,57:06.8
206,Bluesky,Alberta,57:06.8,57:06.8
207,Bluffton,Alberta,57:06.8,57:06.8
208,Bodo,Alberta,57:06.8,57:06.8
209,Boggy Hall,Alberta,57:06.8,57:06.8
210,Boian,Alberta,57:06.8,57:06.8
211,Bon Accord,Alberta,57:06.8,57:06.8
212,Bonanza,Alberta,57:06.8,57:06.8
213,Bonar,Alberta,57:06.8,57:06.8
214,Bonavista Downs,Alberta,57:06.8,57:06.8
215,Bondiss,Alberta,57:06.8,57:06.8
216,Bonlea,Alberta,57:06.8,57:06.8
217,Bonnie Doon,Alberta,57:06.8,57:06.8
218,Bonnyville,Alberta,57:06.8,57:06.8
219,Bonnyville Beach,Alberta,57:06.8,57:06.8
220,Borradaile,Alberta,57:06.8,57:06.8
221,Boscombe,Alberta,57:06.8,57:06.8
222,Botha,Alberta,57:06.8,57:06.8
223,Botten,Alberta,57:06.8,57:06.8
224,Bottrel,Alberta,57:06.8,57:06.8
225,Bow City,Alberta,57:06.8,57:06.8
226,Bowden,Alberta,57:06.8,57:06.8
227,Bowell,Alberta,57:06.8,57:06.8
228,Bow Island,Alberta,57:06.8,57:06.8
229,Bowmanton,Alberta,57:06.8,57:06.8
230,Bowness,Alberta,57:06.8,57:06.8
